"年月別","縣市別","現有公司登記家數"
"10708","總計","705069"
"10708","   臺灣地區","703610"
"10708","      新北市","134936"
"10708","      臺北市","179799"
"10708","      桃園市","59939"
"10708","      臺中市","98414"
"10708","      臺南市","37163"
"10708","      高雄市","87466"
"10708","      宜蘭縣","6077"
"10708","      新竹縣","12622"
"10708","      苗栗縣","7289"
"10708","      彰化縣","26946"
"10708","      南投縣","5394"
"10708","      雲林縣","7125"
"10708","      嘉義縣","4761"
"10708","      屏東縣","7299"
"10708","      臺東縣","1433"
"10708","      花蓮縣","3644"
"10708","      澎湖縣","817"
"10708","      基隆市","5950"
"10708","      新竹市","11755"
"10708","      嘉義市","4781"
"10708","   金馬地區","1459"
"10708","      金門縣","1270"
"10708","      連江縣","189"
